ID: 18   Token: EQ               Lexema: ==                    Línea: 48  Columna: 24
ID: 54   Token: INT_LIT          Lexema: 3                     Línea: 48  Columna: 27
ID: 52   Token: ARROW            Lexema: ->                    Línea: 48  Columna: 29
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 48  Columna: 32
ID: 53   Token: IDENT            Lexema: res                   Línea: 49  Columna: 25
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 49  Columna: 29
ID: 53   Token: IDENT            Lexema: a                     Línea: 49  Columna: 31
ID: 7    Token: TIMES            Lexema: *                     Línea: 49  Columna: 33
ID: 53   Token: IDENT            Lexema: b                     Línea: 49  Columna: 35
ID: 4    Token: ENDL             Lexema: endl                  Línea: 49  Columna: 37
ID: 33   Token: SHOW             Lexema: show                  Línea: 50  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "a * b ="             Línea: 50  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 50  Columna: 40
ID: 33   Token: SHOW             Lexema: show                  Línea: 51  Columna: 25
ID: 53   Token: IDENT            Lexema: res                   Línea: 51  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 51  Columna: 34
ID: 51   Token: RBRACE           Lexema: !                     Línea: 52  Columna: 21
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 53  Columna: 21
ID: 53   Token: IDENT            Lexema: op                    Línea: 53  Columna: 23
ID: 18   Token: EQ               Lexema: ==                    Línea: 53  Columna: 26
ID: 54   Token: INT_LIT          Lexema: 4                     Línea: 53  Columna: 29
ID: 49   Token: RPAR             Lexema: ?                     Línea: 53  Columna: 31
ID: 20   Token: AND              Lexema: @                     Línea: 53  Columna: 33
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 53  Columna: 35
ID: 53   Token: IDENT            Lexema: b                     Línea: 53  Columna: 37
ID: 19   Token: NE               Lexema: !=                    Línea: 53  Columna: 39
ID: 55   Token: FLOAT_LIT        Lexema: 0.0                   Línea: 53  Columna: 42
ID: 49   Token: RPAR             Lexema: ?                     Línea: 53  Columna: 46
